video_id,datetime,title
_4lC_J5PfNE,2024-05-16T12:00:27Z,Penny Proposes for the Second Time 💍 | The Big Bang Theory #shorts
UDY7F6nFflU,2024-05-15T20:00:18Z,Raj Is Stubborn | The Big Bang Theory
1NjIxQFyVvw,2024-05-15T14:00:03Z,Sheldon&#39;s Version of &quot;Helping&quot; | The Big Bang Theory
YeDpGfA0Rz0,2024-05-15T12:00:36Z,One of the Sweetest Moments from &#39;The Big Bang Theory&#39; 🥲 #shorts
Wo6TMFBEUV8,2024-05-14T20:00:18Z,Howard and Bernadette&#39;s Baby Announcement | The Big Bang Theory
ytaXqqz9BKY,2024-05-14T14:00:46Z,Amy&#39;s Sensory Deprivation Experiment | The Big Bang Theory
j6lrXvNtKeA,2024-05-14T12:00:44Z,Howard&#39;s Al Pacino Impression 🤣 | The Big Bang Theory #shorts
htzsZHNTQfg,2024-05-13T20:00:12Z,Raj Meets Claire | The Big Bang Theory
X8M5d6qYiTQ,2024-05-13T14:00:32Z,Season 2 Hilarious Moments | The Big Bang Theory
E4ejOWMZloM,2024-05-13T12:00:16Z,The Best Couple? 🤔 | The Big Bang Theory #shorts
qQjKk_MBqTE,2024-05-12T14:00:39Z,Bernadette&#39;s Mommy Burnout | The Big Bang Theory
hm4vS_kMhUo,2024-05-12T12:00:40Z,It&#39;s Not a Date 😂 | The Big Bang Theory #shorts
k2J_DGPuCmQ,2024-05-11T19:00:30Z,Raj Romances a Custodian | The Big Bang Theory
zdeI-xEcm5c,2024-05-11T12:01:01Z,Sheldon Leaks Penny&#39;s Pregnancy 🤰 | The Big Bang Theory #shorts
2eBbLeuLcvs,2024-05-10T20:00:01Z,Amy Meets Meemaw | The Big Bang Theory
c1NtGONrzVk,2024-05-10T12:00:40Z,Sheldon Doesn&#39;t Like Amy&#39;s Makeover 💇‍♀️ | The Big Bang Theory #shorts
04jPLP7txKo,2024-05-09T22:00:00Z,Memorable Mom Moments | The Big Bang Theory
XFZw6w2MRFM,2024-05-09T20:00:12Z,Sheldon and Amy Ridicule Brian Greene | The Big Bang Theory
d2sUgVdUOd8,2024-05-09T12:00:38Z,How&#39;s &quot;Shut Up?&quot; 🤔 | The Big Bang Theory #shorts
NlQiH3FGrMw,2024-05-08T20:00:06Z,Raj Doesn’t Like Stan Lee’s Characters’ Names | The Big Bang Theory
m0kdWwH8ZM8,2024-05-08T19:00:20Z,Sheldon Wants to &quot;Make a Baby&quot; | The Big Bang Theory
DGvigb_kKA8,2024-05-08T12:00:13Z,Bernadette Goes Zero Gravity 🛩️  | The Big Bang Theory #shorts
yIA1DabfY4o,2024-05-07T20:00:29Z,Howard Proposes to Bernadette
WH3e5ifeLYM,2024-05-07T14:00:21Z,Leonard Comforts Sheldon | The Big Bang Theory
C3oYOzGojhc,2024-05-07T12:00:09Z,&quot;Don&#39;t Be Proud of That&quot; 😶| The Big Bang Theory #shorts
lTtrngtsTRk,2024-05-06T20:00:13Z,Sheldon is an Intruder | The Big Bang Theory
Kk5Bkpufr7A,2024-05-06T18:00:09Z,Penny Proposes at a Funeral | The Big Bang Theory
Y8gXIjNW6L4,2024-05-06T12:00:24Z,Leonard&#39;s Room Gets a Makeover ✨ | The Big Bang Theory
kFzdCyIJEUw,2024-05-05T12:00:40Z,Meryl Streep Has Chemistry with Everyone 🧪  | The Big Bang Theory #shorts
y7RaG74c2Dg,2024-05-04T12:00:51Z,Penny Is &quot;Mama&quot; 👶 | The Big Bang Theory #shorts
nUNZM0_VN3w,2024-05-03T20:00:28Z,Bernadette’s First Introduction to the Group | The Big Bang Theory
nnuQFb66Vmo,2024-05-03T14:00:41Z,The Death Star Cake | The Big Bang Theory
LotBpSmr554,2024-05-03T12:00:31Z,Sheldon Loves Geology 🪨 | The Big Bang Theory #shorts
wBwl4vCNjzg,2024-05-02T20:00:30Z,Leonard&#39;s Mom is Getting a Divorce | The Big Bang Theory
44aCbsvbz3Y,2024-05-02T14:00:04Z,Season 3 Hilarious Moments | The Big Bang Theory
wjZolRA9zFU,2024-05-02T12:00:49Z,Howard&#39;s Indian Accent 🐘 | The Big Bang Theory #shorts
ujEDhMyiKLg,2024-05-01T20:00:17Z,Leonard&#39;s Mom Kisses Sheldon | The Big Bang Theory
r-T2Lu5NQq0,2024-05-01T14:00:43Z,Sheldon and Amy Are the Superior Couple | The Big Bang Theory
J0VG39y3Mks,2024-05-01T12:00:24Z,Raj&#39;s Date Is Deaf 🧏‍♀️ | The Big Bang Theory #shorts
Lyaxfh1qzEI,2024-04-30T20:00:06Z,Penny Meets Leonard&#39;s Mom | The Big Bang Theory
P5bdRWvJDs0,2024-04-30T14:00:18Z,Sheldon Is Contractually Obligated To Go on Dates | The Big Bang Theory
kbwXGLwMfl0,2024-04-30T12:00:44Z,Howard&#39;s Invite Got Lost In the Matrix ✉️  | The Big Bang Theory #shorts
MZgHs-1vFKY,2024-04-29T20:00:06Z,Raj and Howard&#39;s Dating Advice | The Big Bang Theory
5umy2J_lYCc,2024-04-29T14:00:05Z,Iconic &#39;Fun with Flags&#39; Moments | The Big Bang Theory
yMp3tPuIk38,2024-04-29T12:00:54Z,Howard Gets Grounded.. on Earth 🌏 | The Big Bang Theory #shorts
QJKYiE2DpAU,2024-04-28T14:00:25Z,Penny Gets Cozy with a Homeless Drug Addict | The Big Bang Theory
TzESiZqKVbM,2024-04-28T12:00:32Z,Sheldon&#39;s Prank Backfires 📬  | The Big Bang Theory #shorts
gXL0ol29fj4,2024-04-27T14:00:35Z,The Battle of Gettysburg with Condiments | The Big Bang Theory
4Ml4PzlS6aw,2024-04-27T12:00:05Z,Priya Messed Up A LOT 😬 | The Big Bang Theory #shorts
pm-Y1t9e-Hg,2024-04-26T20:00:16Z,Howard Solves the Catering Crisis | The Big Bang Theory
CkaiD_Tv7EU,2024-04-26T12:00:18Z,&#39;Dungeons &amp; Dragons&#39; Gets Literal 🐉 | The Big Bang Theory #shorts
vdNHUFIWSFU,2024-04-25T20:00:17Z,Sheldon Wants a Real Wedding | The Big Bang Theory
vRgpefHQP80,2024-04-25T18:00:25Z,Tetris Arm Wrestling | The Big Bang Theory
Kd63X4hYxbk,2024-04-25T14:00:24Z,Unforgettable Leonard Moments (Season 1) | The Big Bang Theory
qU7R1x5Sa7o,2024-04-25T12:00:45Z,Bernadette Isn&#39;t Excited to be a Mom 👶 | The Big Bang Theory #shorts
gSHVZA5zqLU,2024-04-24T20:00:25Z,Kripke Screws Leonard and Howard | The Big Bang Theory
ygQjNJbkirE,2024-04-24T12:00:52Z,HOLY CRAP! 🐙 | The Big Bang Theory #shorts
DW3mqCG2fHc,2024-04-23T20:00:08Z,Sheldon&#39;s Junk | The Big Bang Theory
xsuHU1MN-r8,2024-04-23T14:00:47Z,Sheldon Doesn&#39;t Work Here | The Big Bang Theory
Zg3Q1wN-ToQ,2024-04-23T12:00:28Z,Property of U? 🤔 | The Big Bang Theory #shorts
H_acKZ2vjNs,2024-04-22T21:30:01Z,Leonard and Penny&#39;s First Date | The Big Bang Theory
sqCcMgf025E,2024-04-22T20:00:30Z,Stuart Agrees to Move in with Denise | The Big Bang Theory
PxbS6w7RNqY,2024-04-22T14:00:18Z,The Full Sheldon and Amy Story | The Big Bang Theory
Mr5ZoUR66Mw,2024-04-22T12:00:29Z,Penny the Confrontational Waitress 😬 | The Big Bang Theory #shorts
ZTEpL6kBo5Y,2024-04-21T14:00:32Z,Sheldon Wins Amy Back | The Big Bang Theory
ZTEpL6kBo5Y,2024-04-21T14:00:32Z,Sheldon Wins Amy Back | The Big Bang Theory
BUdwy-W-2lk,2024-04-21T12:00:13Z,The Romance Ninja 🥷 | The Big Bang Theory #shorts
pPGRCfLMsQI,2024-04-20T14:00:40Z,Zero Gravity | The Big Bang Theory
rVOHV8jq5cw,2024-04-20T12:00:57Z,Sheldon&#39;s Emergency Exits ⚠️ | The Big Bang Theory #shorts
gZm1XuikX-8,2024-04-19T20:00:25Z,Leonard Forgives His Mother | The Big Bang Theory
y59S98LWVyk,2024-04-19T14:00:54Z,Penny Throws Leonard Under the Bus | The Big Bang Theory
Emd3eFwnY98,2024-04-19T12:00:26Z,Howard Bought a &#39;Star Trek&#39; Plate without Bernadette&#39;s Permission 😂 | The Big Bang Theory #shorts
7Ldb0rjLLc0,2024-04-18T20:00:04Z,Howard Doesn’t Want Raj To Leave to London
OE5AMySfP2k,2024-04-18T18:00:19Z,Someone&#39;s Sleeping on Sheldon&#39;s Couch | The Big Bang Theory
idY-dr-n_Cw,2024-04-18T14:00:29Z,Astronaut Howard Moments | The Big Bang Theory
w6UopMzmyoo,2024-04-18T12:00:54Z,Sheldon Doesn&#39;t Want to Get Arrested 👮‍♂️  | The Big Bang Theory #shorts
Al7f2u2FFa4,2024-04-17T20:00:04Z,Leonard Is No Longer a Satisficer | The Big Bang Theory
iacm1Uvt1m8,2024-04-17T14:00:34Z,The Final Scene | The Big Bang Theory
BKikOmTdk28,2024-04-17T12:00:11Z,Raj Can Talk to Women Now?! 😯  | The Big Bang Theory #shorts
Y9hdXuP26KI,2024-04-16T14:00:21Z,Sheldon&#39;s Nobel Prize Acceptance Speech | The Big Bang Theory
NkNFTpC_dcc,2024-04-16T12:00:17Z,The &quot;Morally Compromised&quot; Guys Win! 🏆 | The Big Bang Theory #shorts
nQwzXMHgkWk,2024-04-15T20:00:14Z,Sheldon Hides From His Birthday Guests | The Big Bang Theory
0Syz0sLMAGg,2024-04-15T18:00:02Z,Penny Is Pregnant | The Big Bang Theory
wPQxfHNo_qk,2024-04-15T14:00:40Z,Funny Moments from Season 12 | The Big Bang Theory
uzux2CUKWW4,2024-04-14T14:00:39Z,Bernadette Is a Thrill Seeker | The Big Bang Theory
ZwcBOcQ-qg4,2024-04-14T12:00:34Z,Howard&#39;s &#39;Stuart Voice&#39; 😂 | The Big Bang Theory #shorts
wGTwLku9_Zg,2024-04-13T14:00:43Z,Bribing Nobel Prize Winners with Cookies | The Big Bang Theory
BR0SiS0Mgvc,2024-04-13T12:00:12Z,The Essence of a Mexican Standoff 🇲🇽  | The Big Bang Theory #shorts
2QRBwmJEQ8s,2024-04-12T20:00:01Z,The Reason Sheldon Hates Birthdays | The Big Bang Theory
mtvFH8OgR8c,2024-04-12T14:00:28Z,Someone Tries to Poach Penny | The Big Bang Theory
Yqo0eyYUSTg,2024-04-12T12:00:25Z,Guys on Dating Apps 📱 | The Big Bang Theory #shorts
jIjgO9kEejM,2024-04-11T20:00:13Z,President Siebert Doesn’t Want Sheldon To Do Interviews | The Big Bang Theory
oNnDnlKcyvA,2024-04-11T14:00:39Z,Roommate Stuart Moments | The Big Bang Theory
XDkcLE2JouY,2024-04-11T12:00:27Z,Sheldon Has No Idea How Bad This Looks 😳 | The Big Bang Theory #shorts
MTpwgvrPYvE,2024-04-10T20:00:07Z,Howard Gets a Scooter | The Big Bang Theory
BjoDtw99wc8,2024-04-10T14:00:08Z,Sheldon Needs To Think Before He Speaks | The Big Bang Theory
kYjre77iHKk,2024-04-10T12:00:41Z,Goth Night 🖤 | The Big Bang Theory #shorts
1DccYT2isHM,2024-04-09T14:00:02Z,Sheldon Wants How Many Kids? | The Big Bang Theory
Th6LeQs5zpE,2024-04-09T12:00:32Z,"Bazinga, Punk! 🧟‍♂️ | The Big Bang Theory #shorts"
